,平均值,中位数,标准差,最小值,最大值
2000,318544123.8805654,63326900.275123954,1022116938.7106223,0.0,19228780780.9717
2001,477846580.5411323,67994505.2336224,3517784902.5881724,0.0,110422421152.07489
2002,543854405.2495176,74477593.0345159,3895732956.8446226,0.0,110422421152.07489
2003,620789039.5773385,89296819.0904209,3824235026.015617,0.0,110422421152.07489
2004,729105740.426027,86465886.88588381,3791074212.536376,0.0,110422421152.07489
2005,783967872.0488291,82669503.80807024,3968364227.2257614,0.0,110422421152.07489
2006,1110843956.054407,82784530.8442247,5557072245.429497,0.0,110422421152.07489
2007,1484116119.5724275,77133781.17566204,6863926726.832851,0.0,110422421152.07489
2008,1815608510.3692613,79538065.1199885,7827487051.3074255,0.0,110422421152.07489
2009,2242344611.050219,101227177.904486,9254962232.537395,0.0,110422421152.07489
2010,2275640872.3971353,77918386.48475125,9370309354.268454,0.0,110422421152.07489
2011,2402454889.3269176,59665478.280385554,9929479079.603552,0.0,110422421152.07489
2012,2773814876.0012155,71303868.86488695,11232445983.182926,0.0,110422421152.07489
2013,3075366030.3623343,105919115.3478365,11878432501.16197,0.0,110422421152.07489
2014,3386496120.593235,124189489.434889,13096589422.885283,0.0,110422421152.07489
2015,3764895695.6575475,99830338.49388345,14352780254.431253,0.0,110422421152.07489
2016,4068899373.8262224,114876132.809424,15102482690.351873,0.0,110422421152.07489
2017,3944063445.0576687,113771339.666277,14841495039.998219,0.0,110422421152.07489
2018,4310092075.04856,124256411.1443055,15773872249.0218,0.0,110422421152.07489
2019,4383005972.291372,140333693.447711,15951630308.760014,0.0,110422421152.07489
2020,4343167928.967245,111419520.011111,15872321849.408606,0.0,110422421152.07489
2021,4666241608.02645,243180618.55481,16481744776.156698,0.0,110422421152.07489
2022,4828478454.616466,294481423.140172,16715812766.33051,0.0,110422421152.07489
2023,5005508065.6604395,351100469.35243404,16884972350.788523,0.0,110422421152.07489
2024,7586625587.684169,480196472.35671,21921225696.581837,0.0,110422421152.07489
