Year,平均值,中位数,标准差,最小值,最大值,样本数
2000,239220879.09946027,61318352.1433172,463918305.0225634,0.0,3757552516.63333,1161
2001,278715948.2872956,65315502.8565402,594661913.2023795,0.0,4944721303.30722,1245
2002,300035154.59265363,69185657.2861322,676799232.8739792,0.0,5223764574.80847,1306
2003,372638004.6916045,86092623.703432,826886235.7573535,0.0,7220034146.47864,1367
2004,465738093.0621455,84325366.8814007,1096634169.704519,0.0,9368785751.13685,1453
2005,503497642.01466274,79237668.0766097,1294252930.0002916,0.0,12978272786.5253,1450
2006,663692746.2072358,79801423.1874302,1920932868.8486323,0.0,21077986250.4937,1531
2007,922223458.7561408,75105816.9535509,2905003902.296773,0.0,28488995066.6867,1643
2008,1146399337.2520661,74502115.0230461,3481086538.4608746,0.0,35858392052.2408,1699
2009,1446056788.4829054,95347075.22555025,4337871183.704183,0.0,43612599954.7526,1846
2010,1463644576.5101583,74757949.6412452,4477870282.592665,0.0,49642626820.362,2197
2011,1543819526.4005632,53926331.3609963,4803006235.629914,0.0,52832591556.4278,2431
2012,1814488238.1528153,65697795.1275745,5796049521.033538,0.0,68356952830.4573,2560
2013,2058503701.972176,97185348.8877134,6298622355.280313,0.0,71830423102.2155,2611
2014,2285142939.047014,117560537.33652851,7472457086.513009,0.0,94061190652.2036,2774
2015,2689003313.9341707,92966836.5312458,9594061864.49785,0.0,111665768927.546,3065
2016,2989383153.066178,107459563.50598401,10747602834.083216,0.0,121015265402.431,3396
2017,2861230334.2981977,109082544.569166,10338598325.83625,0.0,124030797196.499,3783
2018,3248111591.724452,117419507.338701,11862301601.238913,0.0,140635337994.825,3887
2019,3374740714.42974,129931361.921512,12639051127.123135,0.0,161869757152.308,4091
2020,3349524790.4135833,104476768.011421,12572355905.760439,0.0,148437368927.743,4538
2021,3739298348.0520196,233273717.40735948,14103098123.80728,0.0,166734415479.524,4958
2022,3933596922.416676,285453680.116566,14576074696.723673,0.0,176796176519.769,5224
2023,4102136155.4704614,341947854.220914,14721780733.60577,0.0,171785970162.297,5382
