,平均值,中位数,标准差,最小值,最大值
2000,4504847654.138251,1130690412.69881,16157560330.25282,0.0,173594191515.177
2001,4721284095.852431,1225752872.59733,17073521579.308044,0.0,173594191515.177
2002,4717743643.065631,1275429744.97896,16950924468.935575,0.0,173594191515.177
2003,4787042365.892632,1415556348.92354,16297468944.90421,0.0,173594191515.177
2004,5045049047.630031,1423941777.071465,17356105452.229687,0.0,173594191515.177
2005,5668339501.192018,1484952327.6975598,18636599758.69726,0.0,173594191515.177
2006,5847572947.789085,1570848117.4994202,18815495958.824413,0.0,173594191515.177
2007,6627180151.191384,1640635118.08,20941318920.207687,0.0,173594191515.177
2008,6325268873.6548395,1736652218.464855,18513584766.70268,0.0,173594191515.177
2009,7190529865.445311,1728321183.64176,21783730203.358368,0.0,173594191515.177
2010,7572418926.551741,1810485080.95624,22190145547.128372,0.0,173594191515.177
2011,7443832493.270214,1987686879.574975,20665668532.73308,0.0,173594191515.177
2012,7587247444.2406225,2114131725.67997,20822359849.475414,0.0,173594191515.177
2013,7932583881.947523,2272576143.6936197,20751672318.577034,0.0,173594191515.177
2014,8359585243.625283,2381531766.8461,21670653044.229942,0.0,173594191515.177
2015,8753056050.521196,2507990105.3626947,22117390279.47035,0.0,173594191515.177
2016,9320503326.753834,2593415923.16838,23378210484.336918,0.0,173594191515.177
2017,9566420343.424622,2670058942.26705,23567707546.004795,0.0,173594191515.177
2018,9697110604.670177,2712145229.55956,24062059881.250652,0.0,173594191515.177
2019,9997829928.050915,2668022619.741375,24601526115.95777,0.0,173594191515.177
2020,10241827319.759237,2562707360.94167,25754118644.082653,0.0,173594191515.177
2021,9810335812.11956,2506189776.38497,24809421261.42823,0.0,173594191515.177
2022,10026754266.140121,2579204204.63837,25343597232.87633,0.0,173594191515.177
2023,9904033091.618607,2560026152.07094,24823646648.0757,0.0,173594191515.177
2024,12586827143.409956,3123678381.88107,29858999530.10159,0.0,173594191515.177
