Year,平均值,中位数,标准差,最小值,最大值,样本数
2000,3039210902.254616,1124222152.4003348,5997075722.663113,0.0,46699259631.1642,1164
2001,3140918730.149593,1210298175.62822,6674230298.678308,0.0,84051983685.7937,1244
2002,3153388327.9557796,1252117452.01225,7055176852.12966,0.0,92065492095.4918,1305
2003,3348399954.7676044,1401498160.94318,7181446202.199675,0.0,79150496020.4664,1367
2004,3496976961.4149055,1401248139.91581,7850134128.796055,0.0,98001519855.4475,1453
2005,4065120602.64946,1467152097.54617,9748779233.713388,0.0,106629273186.62,1449
2006,4231066343.607294,1570848117.4994202,9383346818.718784,8369529.05585407,111241742311.96,1514
2007,4913483930.980195,1611654776.934885,12478298388.929222,0.0,142939146009.534,1644
2008,4777054901.42746,1698261888.228235,10467130193.711185,0.0,106011844751.932,1698
2009,5481974383.206957,1709850454.65219,13881940706.016516,0.0,160974469561.469,1846
2010,5833575224.576158,1783089015.5771952,14342933531.928413,0.0,173594191515.177,2196
2011,5794243987.848795,1957391168.06502,12729817628.69276,0.0,124838556221.221,2429
2012,5910566403.573805,2092228358.34522,12571403293.376171,0.0,147437503359.243,2560
2013,6356960405.298926,2244468668.01859,13434245891.28312,0.0,131443926157.918,2614
2014,6678235620.323751,2342596401.9514246,14148219081.750391,0.0,136488535158.783,2774
2015,7110050075.281645,2459797294.40199,14962532391.95426,0.0,145897743940.464,3067
2016,7627957231.2004595,2540464508.76966,16467704404.934767,0.0,159892049793.353,3397
2017,7898063944.572533,2628080362.825495,16959870516.11737,0.0,151994063668.63,3788
2018,8011978082.656653,2683041018.32815,17491208514.516747,0.0,175997049824.858,3889
2019,8326588743.887492,2634013960.03875,18348469586.349514,0.0,182073024241.38,4090
2020,8606858857.376827,2523267279.59056,20090290479.888332,0.0,189192976037.45,4541
2021,8135964030.273198,2451963126.4292603,18612323418.306595,0.0,185509683673.058,4960
2022,8498265073.357477,2541922958.62037,20064286072.980217,0.0,195916971943.646,5227
2023,8234956872.888721,2520204397.4417,18626048656.955963,0.0,179378165341.814,5385
