Year,平均值,中位数,标准差,最小值,最大值,样本数
2000,0.0,0.0,0.0,0.0,0.0,1176
2001,0.6725528929066419,0.528225833167729,0.5625309033968883,0.031849359188447,3.64397782517381,1232
2002,0.6753776526170132,0.51725755533692,0.5931193691970559,0.0381427332975932,3.92643900949719,1291
2003,0.676956224845998,0.500228908923614,0.6079311054027712,0.0319889438274783,4.22835407329146,1353
2004,0.9469741064204285,0.684825941561594,0.8989879626787454,0.0356580234825167,6.71994755232315,1438
2005,0.6297778500925509,0.41822347759239253,0.7198200065953392,0.017212147804374,5.60192077263499,1434
2006,0.3402675727755406,0.212582930105856,0.40769049831713006,0.0037011372836538,2.98057593443886,1515
2007,0.03846282238848373,0.0,0.14655431537681313,0.0,1.49202369019172,1644
2008,0.06277797522588247,0.036224269636002,0.08638665915380211,0.0,0.732002223679273,1699
2009,0.08931258049214431,0.0500163701061239,0.12774172918790414,0.000335186175180507,1.29422255220266,1827
2010,0.06632536831619089,0.03850679108314175,0.0989720978782323,0.000228444795094514,1.08224976691938,2174
2011,0.09239690729572674,0.059640057242691155,0.10969943287532555,0.000374898841950405,1.03577841352565,2406
2012,0.13206802858237318,0.08511733343608775,0.14573160133202748,0.000518411484489556,1.22762833093399,2534
2013,0.1484411843978677,0.0931793988184159,0.17524926314214045,0.000552998865016222,1.5542267757274,2586
2014,0.28032270494738554,0.153262628469932,0.4367840413939708,0.0010272577748134,4.20524462234009,2745
2015,0.1129883865350511,0.048297018481570295,0.21872067570366555,0.000273911978912231,1.84362655062809,3036
2016,4.073029531769336,1.57139763985976,8.081972415366641,0.00186465332482578,66.4648549638084,3365
2017,0.06259097385294907,0.0,0.31531977541772316,0.0,3.37134933138921,3788
2018,0.0,0.0,0.0,0.0,0.0,3930
2019,0.07864419854300467,0.0366467118625683,0.1282468272816359,0.0,1.00220109681897,4093
2020,0.40160596467353477,0.208051122230328,0.5794281111471729,0.000265988355775711,4.23907687480039,4497
2021,0.11254973640054944,0.039280978275582454,0.17856225458323435,4.69220711622218e-05,1.3908875704915,4910
2022,0.04067754082330117,0.00924974448885591,0.07911842211973218,6.48654517692996e-05,0.557642369492582,5173
2023,0.052594591475322534,0.021743401833528,0.07218926049607004,0.0,0.41206703430174,5385
