,平均值,中位数,标准差,最小值,最大值
2000,,,,,
2001,,,,,
2002,52.59281582952815,69.77,26.908038668719172,10.2,69.77
2003,34.9657330415755,20.22,22.662502914486247,20.22,69.77
2004,20.254125344352616,20.22,1.3003502653793644,20.22,69.77
2005,18.36609053497943,17.67,1.136386618952658,17.67,20.22
2006,22.424780234070216,24.08,3.080329765416103,17.67,69.77
2007,24.93654425045153,25.22,0.49288807351222785,24.08,25.22
2008,25.220000000000002,25.22,6.112457150514911e-13,25.22,25.22
2009,40.82329935622318,45.22,8.320271960778486,25.22,69.77
2010,37.33071718538566,35.54,3.7812635034027036,20.22,45.22
2011,35.54,35.54,1.0162832843507666e-12,35.54,35.54
2012,24.144490507555215,20.12,6.634014780986544,20.12,35.54
2013,20.12,20.12,7.924054691577317e-13,20.12,20.12
2014,20.27781194136575,20.3,0.7176637628412121,20.12,45.22
2015,20.300000000000004,20.3,1.1228389914300513e-12,20.3,20.3
2016,16.732143897465775,15.81,1.847004822035206,15.38,38.73
2017,26.662002617801058,29.1,5.271086358204534,15.81,69.77
2018,19.748038765621022,23.92,8.36752332146294,10.2,69.77
2019,26.434235807860265,24.69,5.544939136051659,20.22,51.77
2020,43.468106689986875,44.08,1.7695163971802055,17.67,45.22
2021,37.34952036925547,39.22,5.0623272550071965,14.85,52.69
2022,24.821438082556593,23.87,3.0811145085722966,15.43,62.93
2023,29.44103243021347,29.62,8.543119445480942,10.2,69.77
2024,29.282243985194327,24.69,11.43387426602228,10.2,69.77
