股票代码,股票名称,交易所,板块,上市时间,最新价
001390,N古麒,深圳交易所,主板,20250529,32.0
834475,三友科技,北京交易所,北交所,20200727,24.67
837748,路桥信息,北京交易所,北交所,20230816,38.38
300169,天晟新材,深圳交易所,创业板,20110125,8.26
300149,睿智医药,深圳交易所,创业板,20101222,8.56
300796,贝斯美,深圳交易所,创业板,20191115,11.51
300804,广康生化,深圳交易所,创业板,20230627,41.26
300773,拉卡拉,深圳交易所,创业板,20190425,23.75
688206,概伦电子,上海交易所,科创板,20211228,27.77
301095,广立微,深圳交易所,创业板,20220805,56.74
301024,霍普股份,深圳交易所,创业板,20210728,37.97
688382,益方生物-U,上海交易所,科创板,20220725,29.1
300546,雄帝科技,深圳交易所,创业板,20160928,22.08
300204,舒泰神,深圳交易所,创业板,20110415,23.04
300698,万马科技,深圳交易所,创业板,20170831,41.59
301005,超捷股份,深圳交易所,创业板,20210601,36.61
301082,久盛电气,深圳交易所,创业板,20211027,27.19
300468,四方精创,深圳交易所,创业板,20150527,23.11
300815,玉禾田,深圳交易所,创业板,20200123,26.78
300872,天阳科技,深圳交易所,创业板,20200824,18.62
300682,朗新集团,深圳交易所,创业板,20170801,16.94
300368,汇金股份,深圳交易所,创业板,20140123,7.34
831370,新安洁,北京交易所,北交所,20200727,6.14
873806,云星宇,北京交易所,北交所,20240111,17.94
301290,东星医疗,深圳交易所,创业板,20221130,28.88
300255,常山药业,深圳交易所,创业板,20110819,36.9
301112,信邦智能,深圳交易所,创业板,20220629,42.94
301070,开勒股份,深圳交易所,创业板,20210923,89.01
836270,天铭科技,北京交易所,北交所,20220902,19.19
301269,华大九天,深圳交易所,创业板,20220729,133.36
688648,中邮科技,上海交易所,科创板,20231113,68.48
688280,精进电动-UW,上海交易所,科创板,20211027,8.27
300537,广信材料,深圳交易所,创业板,20160830,20.56
300321,同大股份,深圳交易所,创业板,20120523,34.76
300531,优博讯,深圳交易所,创业板,20160809,17.85
835579,机科股份,北京交易所,北交所,20231130,35.05
300130,新国都,深圳交易所,创业板,20101019,28.07
838810,春光智能,北京交易所,北交所,20221216,24.4
