股票代码,股票名称,交易所,板块,上市时间,最新价,东财行业,证监会行业,行业为空,上市年份,上市月份,上市日期,一级行业,二级行业
'001390,N古麒,深圳交易所,主板,20250529,32.0,纺织服装-纺织-其他纺织,制造业-皮革、毛皮、羽毛及其制品和制鞋业,False,2025,5,29,纺织服装,纺织
'834475,三友科技,北京交易所,北交所,20200727,24.67,机械设备-专用设备-矿山冶金机械,制造业-专用设备制造业,False,2020,7,27,机械设备,专用设备
'837748,路桥信息,北京交易所,北交所,20230816,38.38,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2023,8,16,信息技术,计算机软件
'300169,天晟新材,深圳交易所,创业板,20110125,8.26,基础化工-化学制品-其他化学制品,制造业-橡胶和塑料制品业,False,2011,1,25,基础化工,化学制品
'300149,睿智医药,深圳交易所,创业板,20101222,8.56,医药生物-生物医药-生物医药,科学研究和技术服务业-研究和试验发展,False,2010,12,22,医药生物,生物医药
'300796,贝斯美,深圳交易所,创业板,20191115,11.51,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业,False,2019,11,15,基础化工,化肥农药
'300804,广康生化,深圳交易所,创业板,20230627,41.26,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业,False,2023,6,27,基础化工,化肥农药
'300773,拉卡拉,深圳交易所,创业板,20190425,23.75,互联网-互联网金融-第三方支付,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2019,4,25,互联网,互联网金融
'688206,概伦电子,上海交易所,科创板,20211228,27.77,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2021,12,28,信息技术,计算机软件
'301095,广立微,深圳交易所,创业板,20220805,56.74,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2022,8,5,信息技术,计算机软件
'301024,霍普股份,深圳交易所,创业板,20210728,37.97,休闲、生活及专业服务-专业服务-建筑装饰设计,科学研究和技术服务业-专业技术服务业,False,2021,7,28,休闲、生活及专业服务,专业服务
'688382,益方生物-U,上海交易所,科创板,20220725,29.1,医药生物-生物医药-生物医药,制造业-医药制造业,False,2022,7,25,医药生物,生物医药
'300546,雄帝科技,深圳交易所,创业板,20160928,22.08,电子设备-电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业,False,2016,9,28,电子设备,电子设备制造
'300204,舒泰神,深圳交易所,创业板,20110415,23.04,医药生物-生物医药-生物医药,制造业-医药制造业,False,2011,4,15,医药生物,生物医药
'300698,万马科技,深圳交易所,创业板,20170831,41.59,信息技术-通信设备-通信传输设备,制造业-计算机、通信和其他电子设备制造业,False,2017,8,31,信息技术,通信设备
'301005,超捷股份,深圳交易所,创业板,20210601,36.61,交运设备-汽车-汽车零部件,制造业-汽车制造业,False,2021,6,1,交运设备,汽车
'301082,久盛电气,深圳交易所,创业板,20211027,27.19,电气设备-输变电设备-电线电缆,制造业-电气机械和器材制造业,False,2021,10,27,电气设备,输变电设备
'300468,四方精创,深圳交易所,创业板,20150527,23.11,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2015,5,27,信息技术,计算机软件
'300815,玉禾田,深圳交易所,创业板,20200123,26.78,休闲、生活及专业服务-专业服务-其他专业服务,水利、环境和公共设施管理业-公共设施管理业,False,2020,1,23,休闲、生活及专业服务,专业服务
'300872,天阳科技,深圳交易所,创业板,20200824,18.62,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2020,8,24,信息技术,计算机软件
'300682,朗新集团,深圳交易所,创业板,20170801,16.94,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2017,8,1,信息技术,计算机软件
'300368,汇金股份,深圳交易所,创业板,20140123,7.34,信息技术-计算机硬件-专用计算机设备,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2014,1,23,信息技术,计算机硬件
'831370,新安洁,北京交易所,北交所,20200727,6.14,公用事业-环保-环保,水利、环境和公共设施管理业-公共设施管理业,False,2020,7,27,公用事业,环保
'873806,云星宇,北京交易所,北交所,20240111,17.94,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2024,1,11,信息技术,计算机软件
'301290,东星医疗,深圳交易所,创业板,20221130,28.88,医药生物-医疗器械-医疗器械,制造业-专用设备制造业,False,2022,11,30,医药生物,医疗器械
'300255,常山药业,深圳交易所,创业板,20110819,36.9,医药生物-化学制药-化学原料药,制造业-医药制造业,False,2011,8,19,医药生物,化学制药
