股票代码,东财行业,证监会行业
300575,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
301260,机械设备-专用设备-农用机械,制造业-专用设备制造业
301137,机械设备-金属制品-金属制品,制造业-金属制品业
688455,机械设备-通用设备-其他通用机械,制造业-通用设备制造业
300858,食品饮料-食品-食品综合,制造业-食品制造业
300313,农林牧渔-畜牧业-养殖,农、林、牧、渔业-畜牧业
300464,互联网-互联网商务-电子商务B2B,批发和零售业-零售业
301190,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
688336,医药生物-生物医药-生物医药,制造业-医药制造业
300255,医药生物-化学制药-化学原料药,制造业-医药制造业
300703,轻工制造-文娱用品-文化用品,制造业-文教、工美、体育和娱乐用品制造业
301277,医药生物-化学制药-化学原料药,制造业-医药制造业
300796,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
300261,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
300509,机械设备-专用设备-印刷包装机械,制造业-通用设备制造业
300534,医药生物-中药生产-中药生产,制造业-医药制造业
300204,医药生物-生物医药-生物医药,制造业-医药制造业
872895,机械设备-专用设备-农用机械,制造业-专用设备制造业
301093,医药生物-医疗器械-医疗器械,制造业-医药制造业
688178,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
600172,有色金属-金属非金属新材料-非金属新材料,制造业-非金属矿物制品业
600468,电气设备-输变电设备-其他输变电设备,制造业-电气机械和器材制造业
002574,轻工制造-珠宝首饰-珠宝首饰,制造业-文教、工美、体育和娱乐用品制造业
002259,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业
000903,交运设备-汽车-汽车零部件,制造业-通用设备制造业
600192,电气设备-输变电设备-电气自控设备,制造业-电气机械和器材制造业
603518,纺织服装-服装家纺-服装,制造业-纺织服装、服饰业
603577,电气设备-输变电设备-其他输变电设备,制造业-金属制品业
600616,食品饮料-饮料-黄酒,制造业-酒、饮料和精制茶制造业
002549,基础化工-化学制品-其他化学制品,水利、环境和公共设施管理业-生态保护和环境治理业
002471,电气设备-输变电设备-电线电缆,制造业-电气机械和器材制造业
002103,轻工制造-文娱用品-文化用品,制造业-文教、工美、体育和娱乐用品制造业
000565,基础化工-化学制品-涂料涂漆,制造业-化学原料和化学制品制造业
603639,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
002846,轻工制造-造纸印刷-包装印刷,制造业-金属制品业
600644,公用事业-电力-水电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
603333,电气设备-输变电设备-电线电缆,制造业-电气机械和器材制造业
002094,基础化工-化学制品-日用化学品,制造业-化学原料和化学制品制造业
603697,食品饮料-食品-食品综合,制造业-农副食品加工业
003042,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
603599,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
603332,基础化工-合成纤维及树脂-涤纶,制造业-化学纤维制造业
002366,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
605033,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
605388,食品饮料-食品-乳制品,制造业-酒、饮料和精制茶制造业
601956,机械设备-通用设备-制冷空调设备,制造业-通用设备制造业
600530,医药生物-保健护理-保健护理产品,制造业-食品制造业
002882,电气设备-输变电设备-电线电缆,制造业-电气机械和器材制造业
603390,交运设备-汽车-汽车零部件,制造业-计算机、通信和其他电子设备制造业
603767,交运设备-汽车-汽车零部件,制造业-汽车制造业
605151,交运设备-汽车-汽车零部件,制造业-汽车制造业
001332,机械设备-金属制品-金属制品,制造业-金属制品业
603900,轻工制造-珠宝首饰-珠宝首饰,批发和零售业-零售业
603768,交运设备-汽车-汽车零部件,制造业-汽车制造业
600990,国防与装备-地面装备-地面装备,制造业-计算机、通信和其他电子设备制造业
002556,商贸零售-贸易-贸易,批发和零售业-零售业
001230,公用事业-环保-环保,水利、环境和公共设施管理业-公共设施管理业
603192,基础化工-化学原料-聚氨酯,制造业-化学原料和化学制品制造业
603056,交通运输-物流-物流,交通运输、仓储和邮政业-邮政业
002286,农林牧渔-农业-农产品加工,制造业-农副食品加工业
002215,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
000561,信息技术-通信设备-通信终端设备,制造业-计算机、通信和其他电子设备制造业
603607,轻工制造-造纸印刷-包装印刷,制造业-造纸和纸制品业
000953,医药生物-生物医药-生物医药,制造业-医药制造业
600189,食品饮料-饮料-软饮料,制造业-酒、饮料和精制茶制造业
601579,食品饮料-饮料-黄酒,制造业-酒、饮料和精制茶制造业
603693,公用事业-电力-新能源发电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
002258,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
002907,医药生物-化学制药-化学制剂,制造业-医药制造业
603681,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
603065,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
000677,基础化工-合成纤维及树脂-粘胶纤维,制造业-纺织业
002427,基础化工-合成纤维及树脂-涤纶,制造业-化学纤维制造业
000639,食品饮料-食品-食品综合,制造业-农副食品加工业
002437,医药生物-化学制药-化学制剂,制造业-医药制造业
870866,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
000078,医药生物-医药商业-医药商业,批发和零售业-批发业
603949,交运设备-汽车-汽车零部件,制造业-汽车制造业
300438,电气设备-电源设备-储能设备,制造业-电气机械和器材制造业
600708,房地产-房地产开发-房地产开发,房地产业-房地产业
833781,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
605196,电气设备-输变电设备-电线电缆,制造业-电气机械和器材制造业
300815,休闲、生活及专业服务-专业服务-其他专业服务,水利、环境和公共设施管理业-公共设施管理业
688108,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
300927,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
300455,信息技术-计算机硬件-专用计算机设备,制造业-计算机、通信和其他电子设备制造业
300804,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
300558,医药生物-化学制药-化学制剂,制造业-医药制造业
301009,轻工制造-造纸印刷-造纸,制造业-造纸和纸制品业
688277,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
688356,医药生物-化学制药-化学辅料药,制造业-化学原料和化学制品制造业
000066,信息技术-计算机硬件-PC、服务器及硬件,制造业-计算机、通信和其他电子设备制造业
301110,互联网-互联网商务-电子商务B2B,信息传输、软件和信息技术服务业-互联网和相关服务
603011,机械设备-通用设备-机床设备,制造业-通用设备制造业
688180,医药生物-生物医药-生物医药,制造业-医药制造业
300497,医药生物-化学制药-化学原料药,制造业-医药制造业
300997,食品饮料-饮料-软饮料,制造业-酒、饮料和精制茶制造业
600059,食品饮料-饮料-黄酒,制造业-酒、饮料和精制茶制造业
002391,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
300158,医药生物-中药生产-中药生产,制造业-医药制造业
000573,房地产-房地产开发-房地产开发,房地产业-房地产业
300886,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
002345,轻工制造-珠宝首饰-珠宝首饰,制造业-文教、工美、体育和娱乐用品制造业
600187,公用事业-水务-水务,电力、热力、燃气及水生产和供应业-水的生产和供应业
301138,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
300106,食品饮料-食品-乳制品,制造业-食品制造业
832786,食品饮料-食品-乳制品,农、林、牧、渔业-畜牧业
688382,医药生物-生物医药-生物医药,制造业-医药制造业
301002,电子设备-电子元件-电子元件,制造业-计算机、通信和其他电子设备制造业
603683,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
838262,纺织服装-服装家纺-家纺,制造业-纺织业
002809,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
688679,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
301075,医药生物-化学制药-化学制剂,制造业-医药制造业
688121,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
301391,信息技术-计算机硬件-专用计算机设备,制造业-计算机、通信和其他电子设备制造业
301550,交运设备-汽车-汽车零部件,制造业-汽车制造业
839725,有色金属-金属非金属新材料-非金属新材料,制造业-非金属矿物制品业
603719,食品饮料-食品-食品综合,批发和零售业-零售业
832802,机械设备-专用设备-环保设备,制造业-专用设备制造业
000722,公用事业-电力-水电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
603686,公用事业-环保-环保,水利、环境和公共设施管理业-公共设施管理业
839719,有色金属-金属非金属新材料-非金属新材料,制造业-非金属矿物制品业
000510,基础化工-化学原料-氯碱,制造业-化学原料和化学制品制造业
688331,医药生物-生物医药-生物医药,制造业-医药制造业
301509,医药生物-生物医药-生物医药,制造业-医药制造业
830946,医药生物-化学制药-化学原料药,制造业-医药制造业
300530,基础化工-化学制品-其他化学制品,制造业-电气机械和器材制造业
601022,交通运输-港口航运-航运,交通运输、仓储和邮政业-水上运输业
603365,纺织服装-服装家纺-家纺,制造业-纺织业
688136,医药生物-生物医药-生物医药,制造业-医药制造业
920819,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
300871,农林牧渔-畜牧业-动物用药,制造业-医药制造业
688663,电气设备-输变电设备-其他输变电设备,制造业-电气机械和器材制造业
002190,电气设备-其他电气设备-其他电气设备,制造业-汽车制造业
605016,食品饮料-食品-食品综合,制造业-食品制造业
603896,医药生物-中药生产-中药生产,制造业-医药制造业
301662,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
001212,建材-其他建材-其他建材,制造业-非金属矿物制品业
301256,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
002973,公用事业-环保-环保,水利、环境和公共设施管理业-公共设施管理业
002250,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
605300,食品饮料-食品-食品综合,制造业-食品制造业
300179,有色金属-金属非金属新材料-非金属新材料,制造业-非金属矿物制品业
600833,医药生物-医药商业-医药商业,批发和零售业-零售业
002224,基础化工-橡胶制品-其他橡胶制品,制造业-橡胶和塑料制品业
301079,机械设备-通用设备-其他通用机械,制造业-通用设备制造业
688511,电子设备-电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业
301070,机械设备-通用设备-其他通用机械,制造业-通用设备制造业
600798,交通运输-港口航运-航运,交通运输、仓储和邮政业-水上运输业
600790,商贸零售-商业物业经营-专业市场,租赁和商务服务业-商务服务业
603001,纺织服装-服装家纺-服饰辅料,制造业-皮革、毛皮、羽毛及其制品和制鞋业
688687,医药生物-生物医药-生物医药,制造业-医药制造业
002121,电气设备-输变电设备-电气仪表,制造业-仪器仪表制造业
603373,休闲、生活及专业服务-专业服务-其他专业服务,租赁和商务服务业-商务服务业
002114,有色金属-基本金属-铅锌,制造业-有色金属冶炼和压延加工业
600419,食品饮料-食品-乳制品,制造业-食品制造业
603310,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
300473,交运设备-汽车-汽车零部件,制造业-汽车制造业
603798,化石能源-石油天然气-石油加工,制造业-石油、煤炭及其他燃料加工业
300267,医药生物-化学制药-化学原料药,制造业-医药制造业
688388,有色金属-金属非金属新材料-电池材料,制造业-计算机、通信和其他电子设备制造业
002305,房地产-房地产开发-房地产开发,房地产业-房地产业
605178,建筑-建筑施工-专业工程,建筑业-建筑装饰、装修和其他建筑业
600355,信息技术-计算机软件-行业应用软件,制造业-计算机、通信和其他电子设备制造业
603677,家电-白色家电-白色家电,制造业-电气机械和器材制造业
300049,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
600130,信息技术-通信设备-通信终端设备,制造业-计算机、通信和其他电子设备制造业
000669,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业
301120,电气设备-其他电气设备-其他电气设备,制造业-电气机械和器材制造业
603970,基础化工-化肥农药-农药,批发和零售业-批发业
600658,房地产-房地产开发-房地产开发,房地产业-房地产业
920068,有色金属-金属非金属新材料-其他金属新材料,制造业-有色金属冶炼和压延加工业
600735,轻工制造-其他轻工-其他轻工,制造业-其他制造业
603041,基础化工-化学原料-聚氨酯,制造业-化学原料和化学制品制造业
603007,建筑-建筑施工-园林工程,建筑业-土木工程建筑业
002300,电气设备-输变电设备-电线电缆,制造业-电气机械和器材制造业
603489,电气设备-电机-电机,制造业-电气机械和器材制造业
000006,房地产-房地产开发-房地产开发,房地产业-房地产业
002592,交运设备-汽车-汽车零部件,制造业-汽车制造业
002134,电子设备-电子元件-电子元件,制造业-计算机、通信和其他电子设备制造业
600300,食品饮料-饮料-软饮料,制造业-酒、饮料和精制茶制造业
603838,建材-陶瓷-陶瓷,制造业-非金属矿物制品业
002529,机械设备-专用设备-其他专用机械,制造业-通用设备制造业
301397,交运设备-汽车-汽车零部件,制造业-汽车制造业
002808,电子设备-电子器件-其他电子器件,制造业-通用设备制造业
000889,信息技术-通信设备-通信配套服务,信息传输、软件和信息技术服务业-软件和信息技术服务业
601008,交通运输-港口航运-港口,交通运输、仓储和邮政业-水上运输业
600696,食品饮料-饮料-白酒,制造业-酒、饮料和精制茶制造业
002717,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
000525,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
002898,医药生物-化学制药-化学制剂,制造业-医药制造业
002199,电子设备-电子元件-电子元件,制造业-计算机、通信和其他电子设备制造业
000422,基础化工-化学原料-氯碱,制造业-化学原料和化学制品制造业
603389,轻工制造-家具-家具制造,制造业-家具制造业
000004,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业
300093,电子设备-电子元件-电子元件,制造业-电气机械和器材制造业
002693,医药生物-化学制药-化学原料药,制造业-医药制造业
603580,基础化工-化学制品-塑料制品,制造业-橡胶和塑料制品业
603828,建筑-装修装饰-装修装饰,建筑业-建筑装饰、装修和其他建筑业
002168,电气设备-输变电设备-其他输变电设备,制造业-电气机械和器材制造业
600753,商贸零售-贸易-贸易,批发和零售业-批发业
301195,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业
603559,信息技术-通信设备-通信配套服务,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务
300520,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业
300512,机械设备-专用设备-印刷包装机械,制造业-通用设备制造业
002868,农林牧渔-畜牧业-动物用药,制造业-医药制造业
605081,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
002141,农林牧渔-畜牧业-动物用药,制造业-电气机械和器材制造业
002289,电子设备-电子器件-显示器件,制造业-计算机、通信和其他电子设备制造业
603843,建筑-基础建设-路桥建设,建筑业-土木工程建筑业
000820,公用事业-环保-环保,科学研究和技术服务业-专业技术服务业
002789,建筑-装修装饰-装修装饰,建筑业-建筑装饰、装修和其他建筑业
002713,建筑-装修装饰-装修装饰,建筑业-建筑装饰、装修和其他建筑业
872351,交通运输-港口航运-航运,交通运输、仓储和邮政业-多式联运和运输代理业
002629,化石能源-石油天然气-石油天然气贸易,采矿业-开采专业及辅助性活动
688290,机械设备-机器人-工业机器人,制造业-专用设备制造业
002969,轻工制造-造纸印刷-包装印刷,制造业-金属制品业
600476,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业
603585,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
300266,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
836547,医药生物-化学制药-化学原料药,制造业-医药制造业
002848,家电-视听器材-视听器材,制造业-计算机、通信和其他电子设备制造业
833171,交通运输-港口航运-航运,交通运输、仓储和邮政业-水上运输业
000615,医药生物-医疗服务-医疗服务,卫生和社会工作-卫生
300422,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
002312,基础化工-化学原料-磷化工,制造业-化学原料和化学制品制造业
000967,公用事业-环保-环保,制造业-专用设备制造业
600568,医药生物-生物医药-生物医药,卫生和社会工作-卫生
002206,基础化工-合成纤维及树脂-涤纶,制造业-化学纤维制造业
002348,轻工制造-文娱用品-娱乐用品,制造业-文教、工美、体育和娱乐用品制造业
002099,医药生物-化学制药-化学原料药,制造业-医药制造业
831370,公用事业-环保-环保,水利、环境和公共设施管理业-公共设施管理业
301057,基础化工-合成纤维及树脂-涤纶,制造业-化学纤维制造业
300247,家电-小家电-小家电,制造业-电气机械和器材制造业
300640,轻工制造-其他轻工-其他轻工,制造业-文教、工美、体育和娱乐用品制造业
002274,基础化工-化肥农药-复合肥,制造业-化学原料和化学制品制造业
834765,轻工制造-家具-家具制造,制造业-家具制造业
300075,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业
300353,信息技术-通信设备-通信传输设备,制造业-计算机、通信和其他电子设备制造业
000096,化石能源-石油天然气-石油天然气贸易,批发和零售业-批发业
600495,交运设备-铁路设备-铁路专用设备及器材,制造业-铁路、船舶、航空航天和其他运输设备制造业
600962,食品饮料-饮料-软饮料,制造业-酒、饮料和精制茶制造业
300878,医药生物-中药生产-中药生产,制造业-医药制造业
300862,机械设备-通用设备-仪器仪表,制造业-仪器仪表制造业
300510,电气设备-输变电设备-电气自控设备,制造业-电气机械和器材制造业
300980,基础化工-化学制品-塑料制品,制造业-橡胶和塑料制品业
301078,商贸零售-零售-百货,批发和零售业-零售业
002326,基础化工-化学原料-氟化工,制造业-化学原料和化学制品制造业
873169,机械设备-专用设备-工程机械,制造业-通用设备制造业
002821,医药生物-化学制药-化学原料药,制造业-医药制造业
300511,农林牧渔-农业-农产品加工,农、林、牧、渔业-农业
603959,机械设备-通用设备-其他通用机械,建筑业-土木工程建筑业
600032,公用事业-电力-新能源发电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
300200,基础化工-化学原料-聚氨酯,制造业-化学原料和化学制品制造业
605009,轻工制造-其他轻工-其他轻工,制造业-造纸和纸制品业
688630,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
000869,食品饮料-饮料-葡萄酒,制造业-酒、饮料和精制茶制造业
688177,医药生物-生物医药-生物医药,制造业-医药制造业
002867,轻工制造-珠宝首饰-珠宝首饰,批发和零售业-批发业
834599,机械设备-专用设备-矿山冶金机械,制造业-专用设备制造业
603716,医药生物-医药商业-医药商业,批发和零售业-批发业
002253,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业
832023,食品饮料-饮料-软饮料,制造业-酒、饮料和精制茶制造业
301225,交运设备-汽车-汽车零部件,制造业-汽车制造业
600249,基础化工-化学制品-日用化学品,制造业-化学原料和化学制品制造业
838030,交运设备-汽车-汽车销售,批发和零售业-零售业
600486,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
600228,互联网-互联网商务-电子商务B2B,信息传输、软件和信息技术服务业-互联网和相关服务
688196,基础化工-化学制品-其他化学制品,制造业-废弃资源综合利用业
301602,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
003030,食品饮料-食品-食品综合,制造业-农副食品加工业
688426,医药生物-生物医药-生物医药,制造业-医药制造业
603130,纺织服装-纺织-其他纺织,制造业-纺织业
603336,农林牧渔-农业-农产品加工,制造业-农副食品加工业
605179,食品饮料-食品-食品综合,制造业-食品制造业
600608,商贸零售-贸易-贸易,批发和零售业-批发业
603701,交运设备-汽车-汽车零部件,制造业-电气机械和器材制造业
