ts_code,symbol,name,area,industry,list_date
430017.BJ,430017,星昊医药,北京,化学制药,20230531
430047.BJ,430047,诺思兰德,北京,生物制药,20201124
430090.BJ,430090,同辉信息,北京,IT设备,20210809
430139.BJ,430139,华岭股份,上海,半导体,20221028
430198.BJ,430198,微创光电,湖北,IT设备,20200727
430300.BJ,430300,辰光医疗,上海,医疗保健,20221207
430418.BJ,430418,苏轴股份,江苏,汽车配件,20200727
430425.BJ,430425,乐创技术,四川,专用机械,20230130
430476.BJ,430476,海能技术,山东,电器仪表,20221014
430478.BJ,430478,峆一药业,安徽,化学制药,20230223
430510.BJ,430510,丰光精密,山东,机械基件,20201228
430556.BJ,430556,雅达股份,广东,电器仪表,20230317
430564.BJ,430564,天润科技,陕西,软件服务,20220617
430685.BJ,430685,新芝生物,浙江,电器仪表,20221010
430718.BJ,430718,合肥高科,安徽,家用电器,20221222
830779.BJ,830779,武汉蓝电,湖北,电器仪表,20230601
830809.BJ,830809,安达科技,贵州,电气设备,20230323
830832.BJ,830832,齐鲁华信,山东,化工原料,20210223
830839.BJ,830839,万通液压,山东,工程机械,20201109
830879.BJ,830879,基康仪器,北京,电器仪表,20221220
830896.BJ,830896,旺成科技,重庆,汽车配件,20230419
830946.BJ,830946,森萱医药,江苏,化学制药,20200727
830964.BJ,830964,润农节水,河北,建筑工程,20200727
830974.BJ,830974,凯大催化,浙江,化工原料,20230308
831010.BJ,831010,凯添燃气,宁夏,供气供热,20200727
831039.BJ,831039,国义招标,广东,建筑工程,20210818
831087.BJ,831087,秋乐种业,河南,种植业,20221207
831152.BJ,831152,昆工科技,云南,小金属,20220901
831167.BJ,831167,鑫汇科,深圳,元器件,20220527
831175.BJ,831175,派诺科技,广东,电气设备,20231214
831195.BJ,831195,三祥科技,山东,汽车配件,20221230
831278.BJ,831278,泰德股份,山东,汽车配件,20220620
831304.BJ,831304,迪尔化工,山东,化工原料,20230418
831305.BJ,831305,海希通讯,上海,电器仪表,20211105
831370.BJ,831370,新安洁,重庆,环境保护,20200727
831396.BJ,831396,许昌智能,河南,电气设备,20240126
831526.BJ,831526,凯华材料,天津,化工原料,20221222
831627.BJ,831627,力王股份,广东,电气设备,20230907
831641.BJ,831641,格利尔,江苏,矿物制品,20221202
831689.BJ,831689,克莱特,山东,专用机械,20220321
831726.BJ,831726,朱老六,吉林,食品,20210527
831768.BJ,831768,拾比佰,广东,家用电器,20210628
831832.BJ,831832,科达自控,山西,软件服务,20211115
831834.BJ,831834,三维股份,江苏,塑料,20220822
831855.BJ,831855,浙江大农,浙江,机床制造,20221229
831856.BJ,831856,浩淼科技,安徽,专用机械,20201225
831906.BJ,831906,舜宇精工,浙江,汽车配件,20230222
831961.BJ,831961,创远信科,上海,电器仪表,20200727
832000.BJ,832000,安徽凤凰,安徽,汽车配件,20201223
832023.BJ,832023,田野股份,广西,食品,20230202
832089.BJ,832089,禾昌聚合,江苏,塑料,20211109
832110.BJ,832110,雷特科技,广东,电气设备,20221206
832145.BJ,832145,恒合股份,北京,环境保护,20211115
832149.BJ,832149,利尔达,浙江,元器件,20230217
832171.BJ,832171,志晟信息,河北,软件服务,20211115
832175.BJ,832175,东方碳素,河南,化工原料,20230630
832225.BJ,832225,利通科技,河南,橡胶,20210225
832278.BJ,832278,鹿得医疗,江苏,医疗保健,20200727
832419.BJ,832419,路斯股份,山东,饲料,20220311
832469.BJ,832469,富恒新材,深圳,塑料,20230918
832471.BJ,832471,美邦科技,河北,化工原料,20230525
832491.BJ,832491,奥迪威,广东,元器件,20220614
832522.BJ,832522,纳科诺尔,河北,专用机械,20231116
832566.BJ,832566,梓橦宫,四川,化学制药,20210813
832651.BJ,832651,天罡股份,山东,电器仪表,20230627
832662.BJ,832662,方盛股份,江苏,机械基件,20221128
832735.BJ,832735,德源药业,江苏,化学制药,20210219
832786.BJ,832786,骑士乳业,内蒙,乳制品,20231013
832802.BJ,832802,保丽洁,江苏,环境保护,20230206
832876.BJ,832876,慧为智能,深圳,元器件,20221109
832885.BJ,832885,星辰科技,广西,电器仪表,20210708
832978.BJ,832978,开特股份,湖北,汽车配件,20230928
832982.BJ,832982,锦波生物,山西,医疗保健,20230720
833030.BJ,833030,立方控股,浙江,软件服务,20231102
833075.BJ,833075,柏星龙,深圳,广告包装,20221214
833171.BJ,833171,国航远洋,福建,水运,20221215
833230.BJ,833230,欧康医药,四川,生物制药,20221209
833266.BJ,833266,生物谷,云南,中成药,20200727
833284.BJ,833284,灵鸽科技,江苏,专用机械,20231219
833346.BJ,833346,威贸电子,上海,元器件,20220223
833394.BJ,833394,民士达,山东,造纸,20230425
833427.BJ,833427,华维设计,江西,建筑工程,20210205
833429.BJ,833429,康比特,北京,食品,20221215
833454.BJ,833454,同心传动,河南,汽车配件,20211115
833455.BJ,833455,汇隆活塞,辽宁,专用机械,20230621
833509.BJ,833509,同惠电子,江苏,电器仪表,20210111
833523.BJ,833523,德瑞锂电,广东,电气设备,20210603
833533.BJ,833533,骏创科技,江苏,汽车配件,20220524
833575.BJ,833575,康乐卫士,北京,生物制药,20230315
833580.BJ,833580,科创新材,河南,其他建材,20220513
833751.BJ,833751,惠同新材,湖南,小金属,20230717
833781.BJ,833781,瑞奇智造,四川,专用机械,20221226
833873.BJ,833873,中设咨询,重庆,建筑工程,20211115
833914.BJ,833914,远航精密,江苏,小金属,20221111
833943.BJ,833943,优机股份,四川,机械基件,20220624
834014.BJ,834014,特瑞斯,江苏,专用机械,20221213
834021.BJ,834021,流金科技,北京,影视音像,20200727
834033.BJ,834033,康普化学,重庆,化工原料,20221221
834058.BJ,834058,华洋赛车,浙江,摩托车,20230810
834062.BJ,834062,科润智控,浙江,电气设备,20220713
834261.BJ,834261,一诺威,山东,化工原料,20230403
834407.BJ,834407,驰诚股份,河南,电器仪表,20230216
834415.BJ,834415,恒拓开源,河南,软件服务,20200727
834475.BJ,834475,三友科技,浙江,专用机械,20200727
834599.BJ,834599,同力股份,陕西,工程机械,20210222
834639.BJ,834639,晨光电缆,浙江,电气设备,20220712
834765.BJ,834765,美之高,深圳,家居用品,20210705
834770.BJ,834770,艾能聚,浙江,电气设备,20230228
834950.BJ,834950,迅安科技,江苏,元器件,20230111
835174.BJ,835174,五新隧装,湖南,工程机械,20210820
835179.BJ,835179,凯德石英,北京,矿物制品,20220304
835184.BJ,835184,国源科技,北京,软件服务,20200727
835185.BJ,835185,贝特瑞,深圳,化工原料,20200727
835207.BJ,835207,众诚科技,河南,软件服务,20220923
835237.BJ,835237,力佳科技,湖北,电气设备,20221125
835305.BJ,835305,*ST云创,江苏,软件服务,20210826
835368.BJ,835368,连城数控,辽宁,专用机械,20200727
835438.BJ,835438,戈碧迦,湖北,元器件,20240325
